Month,value
1978-5,108.0
1978-6,113.0
1978-7,114.0
1978-8,115.0
1978-9,109.0
1978-10,100.0
1978-11,97.0
1978-12,110.0
1979-1,112.0
1979-2,125.0
1979-3,103.0
1979-4,93.0
1979-5,89.0
1979-6,111.0
1979-7,97.0
1979-8,101.0
1979-9,89.0
1979-10,109.0
1979-11,92.0
1979-12,113.0
1980-1,101.0
1980-2,94.0
1980-3,84.0
1980-4,90.0
1980-5,98.0
1980-6,101.0
1980-7,86.0
1980-8,76.0
1980-9,92.0
1980-10,100.0
1980-11,118.0
1980-12,96.0
1981-1,87.0
1981-2,104.0
1981-3,118.0
1981-4,103.0
1981-5,105.0
1981-6,101.0
1981-7,109.0
1981-8,100.0
1981-9,94.0
1981-10,78.0
1981-11,81.0
1981-12,96.0
1982-1,105.0
1982-2,101.0
1982-3,100.0
1982-4,95.0
1982-5,119.0
1982-6,97.0
1982-7,86.0
1982-8,91.0
1982-9,91.0
1982-10,114.0
1982-11,107.0
1982-12,99.0
1983-1,103.0
1983-2,103.0
1983-3,96.0
1983-4,107.0
1983-5,109.0
1983-6,91.0
1983-7,92.0
1983-8,100.0
1983-9,115.0
1983-10,100.0
1983-11,100.0
1983-12,100.0
1984-1,82.0
1984-2,81.0
1984-3,100.0
1984-4,93.0
1984-5,92.0
1984-6,101.0
1984-7,98.0
1984-8,101.0
1984-9,93.0
1984-10,99.0
1984-11,114.0
1984-12,83.0
1985-1,99.0
1985-2,101.0
1985-3,78.0
1985-4,107.0
1985-5,102.0
1985-6,95.0
1985-7,100.0
1985-8,104.0
1985-9,100.0
1985-10,99.0
1985-11,96.0
1985-12,82.0
1986-1,106.0
1986-2,97.0
1986-3,105.0
1986-4,102.0
1986-5,109.0
1986-6,103.0
1986-7,90.0
1986-8,94.0
1986-9,100.0
1986-10,89.0
1986-11,92.0
1986-12,101.0
1987-1,117.0
1987-2,116.0
1987-3,91.0
1987-4,97.0
1987-5,101.0
1987-6,85.0
1987-7,91.0
1987-8,100.0
1987-9,103.0
1987-10,113.0
1987-11,100.0
1987-12,107.0
1988-1,108.0
1988-2,94.0
1988-3,82.0
1988-4,107.0
1988-5,101.0
1988-6,103.0
1988-7,118.0
1988-8,90.0
1988-9,96.0
1988-10,101.0
1988-11,102.0
1988-12,110.0
1989-1,110.0
1989-2,102.0
1989-3,104.0
1989-4,103.0
1989-5,93.0
1989-6,94.0
1989-7,87.0
1989-8,89.0
1989-9,100.0
1989-10,105.0
1989-11,91.0
1989-12,114.0
1990-1,100.0
1990-2,101.0
1990-3,119.0
1990-4,96.0
1990-5,100.0
1990-6,110.0
1990-7,112.0
1990-8,105.0
1990-9,106.0
1990-10,105.0
1990-11,119.0
1990-12,105.0
1991-1,109.0
1991-2,115.0
1991-3,89.0
1991-4,92.0
1991-5,90.0
1991-6,98.0
1991-7,102.0
1991-8,91.0
1991-9,102.0
1991-10,100.0
1991-11,102.0
1991-12,100.0
1992-1,106.0
1992-2,123.0
1992-3,87.0
1992-4,115.0
1992-5,105.0
1992-6,93.0
1992-7,104.0
1992-8,93.0
1992-9,99.0
1992-10,85.0
1992-11,97.0
1992-12,113.0
1993-1,86.0
1993-2,126.0
1993-3,104.0
1993-4,105.0
1993-5,92.0
1993-6,106.0
1993-7,89.0
1993-8,81.0
1993-9,107.0
1993-10,101.0
1993-11,94.0
1993-12,100.0
1994-1,116.0
1994-2,106.0
1994-3,101.0
1994-4,115.0
1994-5,125.0
1994-6,105.0
1994-7,123.0
1994-8,112.0
1994-9,107.0
1994-10,100.0
1994-11,121.0
1994-12,118.0
1995-1,110.0
1995-2,116.0
1995-3,115.0
1995-4,96.0
1995-5,106.0
1995-6,99.0
1995-7,105.0
1995-8,107.0
1995-9,111.0
1995-10,109.0
1995-11,100.0
1995-12,100.0
1996-1,106.0
1996-2,101.0
1996-3,94.0
1996-4,95.0
1996-5,101.0
1996-6,104.0
1996-7,95.0
1996-8,101.0
1996-9,111.0
1996-10,106.0
1996-11,93.0
1996-12,115.0
1997-1,103.0
1997-2,117.0
1997-3,120.0
1997-4,105.0
1997-5,121.0
1997-6,110.0
1997-7,100.0
1997-8,104.0
1997-9,93.0
1997-10,117.0
1997-11,101.0
1997-12,110.0
1998-1,99.0
1998-2,128.0
1998-3,107.0
1998-4,127.0
1998-5,99.0
1998-6,99.0
1998-7,114.0
1998-8,104.0
1998-9,116.0
1998-10,120.0
1998-11,131.0
1998-12,119.0
1999-1,126.0
1999-2,135.0
1999-3,104.0
1999-4,111.0
1999-5,109.0
1999-6,97.0
1999-7,91.0
1999-8,91.0
1999-9,123.0
1999-10,103.0
1999-11,103.0
1999-12,113.0
2000-1,95.0
2000-2,103.0
2000-3,126.0
2000-4,120.0
2000-5,120.0
2000-6,107.0
2000-7,112.0
2000-8,102.0
2000-9,109.0
2000-10,104.0
2000-11,91.0
2000-12,124.0
2001-1,110.0
2001-2,117.0
2001-3,125.0
2001-4,104.0
2001-5,123.0
2001-6,104.0
2001-7,118.0
2001-8,92.0
2001-9,111.0
2001-10,112.0
2001-11,106.0
2001-12,97.0
2002-1,134.0
2002-2,145.0
2002-3,137.0
2002-4,114.0
2002-5,92.0
2002-6,116.0
2002-7,106.0
2002-8,96.0
2002-9,109.0
2002-10,108.0
2002-11,103.0
2002-12,100.0
2003-1,105.0
2003-2,121.0
2003-3,108.0
2003-4,104.0
2003-5,101.0
2003-6,106.0
2003-7,100.0
2003-8,99.0
2003-9,116.0
2003-10,100.0
2003-11,103.0
2003-12,102.0
2004-1,108.0
2004-2,148.0
2004-3,119.0
2004-4,125.0
2004-5,107.0
2004-6,101.0
2004-7,111.0
2004-8,98.0
2004-9,108.0
2004-10,105.0
2004-11,121.0
2004-12,117.0
2005-1,96.0
2005-2,90.0
2005-3,104.0
2005-4,134.0
2005-5,109.0
2005-6,128.0
2005-7,106.0
2005-8,91.0
2005-9,117.0
2005-10,105.0
2005-11,129.0
2005-12,94.0
2006-1,112.0
2006-2,108.0
2006-3,129.0
2006-4,120.0
2006-5,110.0
2006-6,118.0
2006-7,107.0
2006-8,113.0
2006-9,99.0
2006-10,136.0
2006-11,124.0
2006-12,108.0
2007-1,113.0
2007-2,153.0
2007-3,127.0
2007-4,113.0
2007-5,132.0
2007-6,105.0
2007-7,101.0
2007-8,111.0
2007-9,112.0
2007-10,113.0
2007-11,108.0
2007-12,120.0
2008-1,91.0
2008-2,96.0
2008-3,132.0
2008-4,113.0
2008-5,121.0
2008-6,94.0
2008-7,106.0
2008-8,98.0
2008-9,115.0
2008-10,118.0
2008-11,109.0
2008-12,114.0
2009-1,105.0
2009-2,140.0
2009-3,117.0
2009-4,116.0
2009-5,111.0
2009-6,121.0
2009-7,103.0
2009-8,99.0
2009-9,110.0
2009-10,130.0
2009-11,77.0
2009-12,100.0
2010-1,114.0
2010-2,123.0
2010-3,103.0
2010-4,83.0
2010-5,107.0
2010-6,102.0
2010-7,108.0
2010-8,114.0
2010-9,117.0
2010-10,103.0
2010-11,118.0
2010-12,121.0
2011-1,77.0
2011-2,116.0
2011-3,108.0
2011-4,119.0
2011-5,111.0
2011-6,106.0
2011-7,105.0
2011-8,97.0
2011-9,100.0
2011-10,105.0
2011-11,132.0
2011-12,97.0
2012-1,103.0
2012-2,97.0
2012-3,104.0
2012-4,128.0
2012-5,118.0
2012-6,113.0
2012-7,118.0
2012-8,102.0
2012-9,100.0
2012-10,114.0
2012-11,95.0
2012-12,89.0
2013-1,106.0
2013-2,117.0
2013-3,128.0
2013-4,108.0
2013-5,112.0
2013-6,105.0
2013-7,123.0
2013-8,128.0
2013-9,109.0
2013-10,111.0
2013-11,110.0
2013-12,101.0
2014-1,134.0
2014-2,107.0
2014-3,135.0
2014-4,114.0
2014-5,119.0
2014-6,103.0
2014-7,99.0
2014-8,85.0
2014-9,106.0
2014-10,117.0
2014-11,113.0
2014-12,102.0
2015-1,128.0
2015-2,125.0
2015-3,121.0
2015-4,106.0
2015-5,111.0
2015-6,101.0
2015-7,91.0
2015-8,99.0
2015-9,109.0
2015-10,114.0
2015-11,102.0
2015-12,115.0
2016-1,105.0
2016-2,127.0
2016-3,127.0
2016-4,127.0
2016-5,102.0
2016-6,101.0
2016-7,109.0
2016-8,115.0
2016-9,119.0
2016-10,109.0
2016-11,106.0
2016-12,127.0
2017-1,125.0
2017-2,124.0
2017-3,113.0
2017-4,126.0
2017-5,125.0
2017-6,102.0
2017-7,125.0
2017-8,104.0
2017-9,106.0
2017-10,96.0
2017-11,110.0
2017-12,107.0
